N+,MCC,MCCL,MCCU,Sens,SensL,SensU,FPR,FPRL,FPRU,PPV,PPVL,PPVU,NPV,NPVL,NPVU
2,0.577350269189626,0.377964473009227,1,0.5,0,1,0,0,0,1,1,1,0.666666666666667,0.5,1
11,0.306289834265734,0.201727034617802,0.577287818748984,0.242424242424242,0.1,0.396969696969697,0.0317460317460317,0,0.0833333333333333,0.95045045045045,0.755434782608696,1,0.571074714386816,0.521457876936085,0.644976408228662
4,0.0948379361204024,-0.428571428571429,0.371497165456362,0.166666666666667,0,0.333333333333333,0.130952380952381,0.0689655172413793,0.203341013824885,0.643382352941176,0,0.807392929200293,0.508012820512821,0.449309923130678,0.65819209039548
27,0.131439232048077,-0.0748485189427658,0.419025184501644,0.296296296296296,0.203341013824885,0.389846743295019,0.2,0,0.333333333333333,0.712608860280197,0.461692969870875,1,0.544932275490767,0.360264926128314,0.617626558796362
22,0.369522511903321,0.237363013990531,0.501144900752356,0.378787878787879,0.286796536796537,0.466666666666667,0.1,0,0.2,0.910569105691057,0.836528254123796,1,0.626799932947783,0.56549985087804,0.68369978277873
4,0.377964473009227,0.301511344577764,1,0.166666666666667,0,0.333333333333333,0,0,0,1,1,1,0.547619047619048,0.5,0.666666666666667
0,NaN,NaN,NaN,NaN,NaN,NaN,0.0520833333333333,0.0104166666666667,0.09375,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN,0.114583333333333,0.0520833333333333,0.1875,NaN,NaN,NaN,NaN,NaN,NaN
1,0.538565733311412,0.479031585689012,0.61177563134022,0.666666666666667,0.666666666666667,0.666666666666667,0.0860215053763441,0.032258064516129,0.150537634408602,0.628571428571429,0.598290598290598,0.666666666666667,0.82183908045977,0.808641975308642,0.830601092896175
5,0.928476690885259,0.825647946733295,1,0.333333333333333,0.333333333333333,0.333333333333333,0.0246913580246914,0,0.0629154795821463,0.931034482758621,0.840851814516129,1,0.666666666666667,0.666666666666667,0.666666666666667
2,0.552497561100356,-0.225493808400849,1,0.333333333333333,0,0.666666666666667,0.0111111111111111,0,0.0344827586206896,0.96875,0,1,0.608585858585859,0.491525423728814,0.833333333333333
1,0.958577016508295,0.920988416930293,0.989415278850618,1,1,1,0.043010752688172,0.0104166666666667,0.0833333333333333,0.960171568627451,0.928021082535885,0.989583333333333,1,1,1
1,0.984122918275927,0.950693909432999,1,0.666666666666667,0.666666666666667,0.666666666666667,0.010752688172043,0,0.0333333333333333,0.984375,0.953125,1,0.833333333333333,0.833333333333333,0.833333333333333
2,0.560781797130113,0.403948347796325,1,0.5,0.333333333333333,0.666666666666667,0.0111111111111111,0,0.0344827586206896,0.979166666666667,0.5,1,0.664141414141414,0.644244604316547,0.833333333333333
1,1,1,1,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333
3,0.406207224441987,-0.225493808400849,0.989068050549784,0.333333333333333,0,1,0.0229885057471264,0,0.0595238095238095,0.9375,0,1,0.594366197183099,0.486782093969663,1
0,NaN,NaN,NaN,NaN,NaN,NaN,0.0833333333333333,0.03125,0.135416666666667,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.185695338177052,-0.281333439303425,-0.128036879932896,0,0,0,0.0444444444444444,0.010752688172043,0.0888888888888889,0,0,0,0.488505747126437,0.476076555023923,0.497267759562842
1,-0.128036879932896,-0.262612865719445,-0.128036879932896,0,0,0,0.010752688172043,0,0.0344827586206896,0,0,0,0.497267759562842,0.491228070175439,0.5
2,0.789197744479288,0.516446412285961,0.983771349621332,0.833333333333333,0.666666666666667,1,0.0666666666666667,0.010752688172043,0.138857990359659,0.928030303030303,0.589677419354839,0.989005376344086,0.886363636363636,0.826412429378531,1
2,0.978136101099568,0.945110912882927,1,1,1,1,0.0222222222222222,0,0.0574712643678161,0.978494623655914,0.947709707966764,1,1,1,1
6,0.707106781186547,0.447213595499958,1,0.222222222222222,0.0666666666666667,0.333333333333333,0,0,0,1,1,1,0.583333333333333,0.518518518518518,0.666666666666667
0,NaN,NaN,NaN,NaN,NaN,NaN,0.0625,0.0104166666666667,0.125,NaN,NaN,NaN,NaN,NaN,NaN
3,0.532389335402571,0.171107240592091,0.932553853466058,0.555555555555555,0.333333333333333,0.666666666666667,0.0689655172413793,0.0111111111111111,0.144444444444444,0.868297255234861,0.3125,0.988095238095238,0.721692902513118,0.649616858237548,0.833333333333333
1,0.952841351556473,0.874733290620194,1,0.666666666666667,0.666666666666667,0.666666666666667,0.032258064516129,0,0.0860215053763441,0.95407196969697,0.882887700534759,1,0.833333333333333,0.833333333333333,0.833333333333333
2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
0,NaN,NaN,NaN,NaN,NaN,NaN,0.0104166666666667,0,0.03125,NaN,NaN,NaN,NaN,NaN,NaN
0,NaN,NaN,NaN,NaN,NaN,NaN,0.0104166666666667,0,0.03125,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
